concepto,uppb,Total,agricultura,mineria,energia_agua_gas,construccion,manufactura,mayoreo,menudeo,transporte,medios_masivos,servicios_financieros_seguros,inmobiliarios,profesionales,corporativos,apoyo_negocios,educativos,salud_asistencia,esparcimiento,alojamiento,otros_servicios,actividades_gubernamentales,demanda_final,cprv,cg,P.51b - Formación bruta de capital fijo,P.52 - Variación de existencias,a P.6 - Exportaciones de bienes y servicios,YA0 - Discrepancia estadística
"     11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1240510,727872,92407,6,0,2030,597191,4,7,1,3,2,1,1,0,55,5,1216,3,34667,220,50,512638,215759,405,71744,4319,220411,0
     21 - Minería,1461180,719216,757,8666,10935,45505,650703,186,186,703,202,44,210,67,4,63,125,199,28,132,48,452,741965,540,6,149980,1634,589804,0
"     22 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",735835,444941,16374,23022,11714,7514,201245,15647,66086,6104,7026,5385,19013,4006,492,5976,12115,8860,2694,9936,6050,15683,290894,286083,18,484,0,4309,0
     23 - Construcción,2963263,354110,1396,8771,952,307916,5802,1340,1444,697,198,1530,299,635,12,917,4833,3672,597,430,461,12209,2609153,6622,21764,2575639,3,5124,0
     31-33 - Industrias manufactureras,15972895,4227502,167103,146821,83095,549895,2227579,58135,61527,309794,44762,26002,35039,35002,6026,83685,25383,103258,15244,113181,67408,68562,11745393,4183872,5338,789521,44131,6722532,0
     43 - Comercio al por mayor,2894324,848342,33936,15948,8419,111300,534937,11153,5765,31487,7902,4102,8409,5313,761,10274,4214,18849,2673,17021,8368,7512,2045981,1361492,231,252060,40,432159,0
     46 - Comercio al por menor,2890288,845078,33415,15984,8425,110423,532705,11238,5967,31480,7972,4179,8400,5316,767,10272,4227,18732,2665,16936,8341,7632,2045210,1361699,52,253892,7,429560,0
"     48-49 - Transportes, correos y almacenamiento",2690172,589628,16693,25017,3324,34742,191454,37244,34099,162503,6512,13723,8563,4935,1381,9495,5091,6600,1324,6140,3684,17103,2100544,1618393,163,153814,0,328174,0
     51 - Información en medios masivos,666671,186111,287,7484,460,4975,18802,12036,8022,10190,31902,8836,11662,6270,9063,11336,6420,2764,1710,6410,3046,24434,480560,440917,1006,10344,0,28293,0
     52 - Servicios financieros y de seguros,1371792,297043,3207,10754,1225,6548,22086,46224,27060,8082,3783,110846,1878,2785,20989,1929,1546,3482,158,2034,223,22204,1074749,994236,7167,0,0,73346,0
